anio_c,pais_c,population,population_int,population_nat,poor_int_pop,poor31_int_pop,poor_national_pop,poor_e_national_pop,poor_int_delta_pop,poor31_int_delta_pop,poor_national_delta_pop,poor_e_national_delta_pop,poor_national_new_pop,poor_e_national_new_pop,national_recovery,poor_national_recovery,poor_e_national_recovery,poor_national_new_recovery,poor_e_national_new_recovery,poor_int,poor_int_delta,poor31_int,poor31_int_delta,poor_national,poor_national_delta,poor_e_national,poor_e_national_delta,shock_weight,zona_c,category,shock_component,shock_population,gdp_growth
2020,ARG,28644818.0,25759747.0,20834543.0,3117451.0,1600371.0,9345989.0,2615991.0,3029761.0,1366209.0,8957992.0,2233623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12102024915073895,0.11761610081030686,0.06212681359021111,0.0530365845596232,0.4485814255681058,0.42995865088089524,0.1255602774680491,0.10720767909332113,0.0,,,Granos_panes_cereales,,IMF
2014,BHS,257918.38403320312,197818.13944244385,197818.13944244385,10644.299877166748,6016.8191566467285,10644.299877166748,6016.8191566467285,9492.196933746338,4944.536720275879,9492.196933746338,4944.536720275879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05380851274391729,0.04798446169042116,0.030415912178758265,0.02499536561314447,0.05380851274391729,0.04798446169042116,0.030415912178758265,0.02499536561314447,0.0,,,Granos_panes_cereales,,IMF
2007,BLZ,313923.68988609314,240454.56561470032,240454.56561470032,19310.166982650757,11562.428081512451,19310.166982650757,11562.428081512451,17716.942991256714,11283.11243057251,17716.942991256714,11283.11243057251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0803069258979802,0.07368104217927804,0.04808570821666102,0.04692409313055984,0.0803069258979802,0.07368104217927804,0.04808570821666102,0.04692409313055984,0.0,,,Granos_panes_cereales,,IMF
2020,BOL,11749037.995095253,11670424.862782478,11670424.862782478,3051805.186159134,1607023.870554924,4538500.133379936,1714047.6042966843,2952028.6650075912,1539242.627234459,4359761.525823593,1640553.1994314194,0.0,0.0,-1.9317364521174377e-08,-5.78270803609985e-09,-1.6545959087587707e-09,0.0,0.0,0.26149906469056505,0.2529495455149835,0.13770054556280956,0.1318925956280456,0.3888890238995002,0.37357350542798773,0.14687105434891756,0.1405735625498279,0.0,,,Granos_panes_cereales,,IMF
2020,BRA,211096452.99566078,206045849.1063242,206045849.1063242,41235884.77220249,18024362.17780304,46497642.96545887,8674885.643491745,41098216.41376591,17936363.79209137,45867482.58347607,8649374.810014725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20012965537065427,0.19946151107639312,0.08747743405644669,0.08705035248167417,0.22566648717812832,0.22260813688999595,0.04210172483996663,0.041977913399029246,0.0,,,Granos_panes_cereales,,IMF
2016,BRB,278999.9999694824,234609.70416259766,234609.70416259766,10226.09602355957,3090.0795555114746,10226.09602355957,3090.0795555114746,5180.921577453613,3090.0795555114746,5180.921577453613,3090.0795555114746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04358769412399205,0.022083151231728014,0.013171149789140335,0.013171149789140335,0.04358769412399205,0.022083151231728014,0.013171149789140335,0.013171149789140335,0.0,,,Granos_panes_cereales,,IMF
2020,CHL,19545799.0,19111427.0,19532480.0,2195707.0,1077324.0,2112185.0,831232.0,2130774.0,1059595.0,2047631.0,795782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11488974632820459,0.11149214551064135,0.05637067289637765,0.05544300799725735,0.10813706196038599,0.10483210529333704,0.04255639836825636,0.040741472665017445,0.0,,,Granos_panes_cereales,,IMF
2020,COL,49620239.65705776,48397769.80934811,49620239.65705776,16934375.421102524,8793001.726118088,18939982.820563316,5191881.252938271,15810014.720458984,8210532.806159973,17591471.449786186,4699912.870632172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34989991249207564,0.32666824902756686,0.18168196098200595,0.16964692461044137,0.38169873727865755,0.3545220976635096,0.10463232924349249,0.09471765761541777,0.0,,,Granos_panes_cereales,,IMF
2021,CRI,5163413.0,5100410.0,5154703.0,878268.0,363379.0,1351668.0,376776.0,833077.0,338766.0,1284909.0,349815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1721955685915446,0.16333530049545036,0.07124505676994594,0.06641936628623973,0.2622203451876859,0.24926925954802828,0.07309363895456246,0.06786326971699437,0.0,,,Granos_panes_cereales,,IMF
2020,DOM,10480963.994644165,10303812.68812561,10480963.994644165,2482052.771194458,1000347.8591766357,2367297.6797180176,325918.0559082031,2272553.1899108887,893364.6697845459,2058298.7022247314,277729.8112640381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24088682959608165,0.22055459068368352,0.09708521393536816,0.08670233988376781,0.22586640703352484,0.19638448364831082,0.03109619077737021,0.026498498745531392,0.0,,,Granos_panes_cereales,,IMF
2020,ECU,17695544.989904404,17390315.95849037,17390315.95849037,6586100.245279312,3491176.0305366516,5533934.7630729675,2512521.3625125885,6368537.578538895,3344150.1968097687,5313893.046966553,2382997.8152751923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3787222877951116,0.3662117234523057,0.20075403108660456,0.19229956515983104,0.31821933404097624,0.30556621625797326,0.14447818938481766,0.13703016212950148,0.0,,,Granos_panes_cereales,,IMF
2014,GTM,16002003.998764038,15934896.373764038,16002003.998764038,9157928.231903076,5970871.429046631,9486743.199783325,3737409.676925659,8841724.231903076,5635843.429046631,9145230.199783325,3423689.676925659,0.0,0.0,1.176385339440132e-07,6.974167498096167e-08,2.7475520889488392e-08,0.0,0.0,0.5747089919568676,0.5548654992485866,0.3747041266535849,0.35367932723589895,0.5928471959209648,0.5715053064909672,0.23355885157973522,0.21395380711004058,0.0,,,Granos_panes_cereales,,IMF
2019,GUY,745059.1476888657,616151.5054960251,616151.5054960251,299922.63168144226,189381.52050876617,299922.63168144226,189381.52050876617,207313.86344337463,131191.96376991272,207313.86344337463,131191.96376991272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48676766835129825,0.33646572570893774,0.3073619374772231,0.21292159898935614,0.48676766835129825,0.33646572570893774,0.3073619374772231,0.21292159898935614,0.0,,,Granos_panes_cereales,,IMF
2019,HND,2251019.1909561157,520217.5763282776,520673.3289375305,268601.8744163513,184826.1531906128,328202.57481765747,211485.94050598145,263511.0647354126,178099.85663604736,319500.13634109497,205516.51509475708,0.0,0.0,9.414918320153686e-09,1.4380938745965389e-09,1.2062563834412167e-09,0.0,0.0,0.5163260271061143,0.5065401030762691,0.35528625252365614,0.34235647686701653,0.6303425902136706,0.6136287737131779,0.40617778701577234,0.3947129681370996,0.0,,,Granos_panes_cereales,,IMF
2018,JAM,3157964.7343235016,3116004.3986377716,3116004.3986377716,763.9966201782227,73.92912292480469,353107.1140060425,97747.99367141724,763.9966201782227,73.92912292480469,331414.0127296448,85400.37480545044,0.0,0.0,-4.398162556563765e-08,-4.9840189184476286e-09,-1.3796885714692951e-09,0.0,0.0,0.0002451847052950953,0.0002451847052950953,2.3725615713868824e-05,2.3725615713868824e-05,0.11332047995837581,0.10635864727101461,0.03136965843634556,0.02740701355966797,0.0,,,Granos_panes_cereales,,IMF
2020,MEX,126760856.0,126125207.0,126760856.0,38534112.0,16988970.0,66887453.0,18855506.0,37488076.0,16393914.0,65609987.0,18212994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30552268588149867,0.2972290542999862,0.1346992437443532,0.12998126536275972,0.5276664666890543,0.5175887026196794,0.14874864839978677,0.14367995432280767,0.0,,,Granos_panes_cereales,,IMF
2014,NIC,6240907.859611034,5936684.6322722435,5936684.6322722435,3012898.8379786015,1784050.8496847153,2473974.7280521393,1399767.9736042023,2910946.6397087574,1715075.2819919586,2366393.335451126,1303421.0969028473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.507505286974529,0.4903320321050309,0.30051299002586174,0.28889445679305353,0.41672665490826905,0.3986051949917033,0.23578277444534668,0.2195537033948808,0.0,,,Granos_panes_cereales,,IMF
2019,PAN,4076474.0,4004511.0,4004511.0,638719.0,374547.0,873663.0,387056.0,584268.0,331452.0,803643.0,352617.0,0.0,0.0,8.786216199041519e-09,3.600014508720051e-09,2.088718531467748e-09,0.0,0.0,0.15949987401707724,0.1459024585024239,0.09353127011013329,0.08276965651985972,0.21816970911055059,0.20068442813616943,0.09665499732676475,0.08805494603460946,0.0,,,Granos_panes_cereales,,IMF
2020,PER,33221603.712699294,33020595.985301733,33221603.712699294,11615062.224806905,6025398.099321961,9984368.428366065,1703729.5014824867,11209665.487574935,5778409.212900996,9372011.015691161,1546597.2475647926,0.0,0.0,5.737694491443849e-08,1.3110706366716295e-08,7.559287249115086e-10,0.0,0.0,0.3517520468127544,0.3394749595847582,0.18247393541909457,0.1749940920349562,0.3005384241745512,0.2821059180869289,0.05128378257161676,0.04655396111939022,0.0,,,Granos_panes_cereales,,IMF
2020,PRY,7221008.0,7122177.0,7221008.0,1551825.0,604770.0,1863389.0,269304.0,1545243.0,603262.0,1854800.0,266755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21788632885703346,0.21696217322315917,0.08491364367945363,0.08470191066579782,0.25805109203590415,0.25686164590871524,0.037294516222665865,0.036941518414049676,0.0,,,Granos_panes_cereales,,IMF
2020,SLV,6321041.993896484,6027156.973890305,6321041.993896484,1850907.7714862823,978830.4975585938,1814047.6373729706,550173.576871872,1780915.3858661652,921032.7748966217,1711329.6642417908,514012.1309223175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3070946682663867,0.2954818322438101,0.16240335232662695,0.15281380240908665,0.2869855380053781,0.270735373359998,0.08703843091109224,0.08131762633734137,0.0,,,Granos_panes_cereales,,IMF
